config_name,shift_type,dataset,backbone,setup,test_accuracy,augrc_mean,filename
Corruption_bloodmnist_resnet18_DA,Corruption,bloodmnist,resnet18,DA,0.9535223618824905,0.003179503865638587,uq_benchmark_bloodmnist_resnet18_DA_corrupt_severity3_test_20260115_165217.json
Corruption_bloodmnist_resnet18_DADO,Corruption,bloodmnist,resnet18,DADO,0.9640456007015492,0.002425097458046029,uq_benchmark_bloodmnist_resnet18_DADO_corrupt_severity3_test_20260115_200301.json
Corruption_bloodmnist_resnet18_DO,Corruption,bloodmnist,resnet18,DO,0.7737503653902368,0.05661576993928431,uq_benchmark_bloodmnist_resnet18_DO_corrupt_severity3_test_20260115_181332.json
Corruption_bloodmnist_resnet18_Baseline,Corruption,bloodmnist,resnet18,S,0.7833966676410407,0.0638635485674438,uq_benchmark_bloodmnist_resnet18_corrupt_severity3_test_20260115_152634.json
Corruption_bloodmnist_vit_b_16_DA,Corruption,bloodmnist,vit_b_16,DA,0.9850920783396667,0.0007966596603453717,uq_benchmark_bloodmnist_vit_b_16_DA_corrupt_severity3_test_20260115_234540.json
Corruption_bloodmnist_vit_b_16_DADO,Corruption,bloodmnist,vit_b_16,DADO,0.9877228880444314,0.000752953818519163,uq_benchmark_bloodmnist_vit_b_16_DADO_corrupt_severity3_test_20260116_025521.json
Corruption_bloodmnist_vit_b_16_DO,Corruption,bloodmnist,vit_b_16,DO,0.9748611517100263,0.0014672858569690227,uq_benchmark_bloodmnist_vit_b_16_DO_corrupt_severity3_test_20260116_012133.json
Corruption_bloodmnist_vit_b_16_Baseline,Corruption,bloodmnist,vit_b_16,S,0.9801227711195557,0.001378421584243202,uq_benchmark_bloodmnist_vit_b_16_corrupt_severity3_test_20260115_215303.json
Corruption_breastmnist_resnet18_DA,Corruption,breastmnist,resnet18,DA,0.8333333333333334,0.043639053254437864,uq_benchmark_breastmnist_resnet18_DA_corrupt_severity3_test_20260114_230536.json
Corruption_breastmnist_resnet18_DADO,Corruption,breastmnist,resnet18,DADO,0.8589743589743589,0.04326923076923075,uq_benchmark_breastmnist_resnet18_DADO_corrupt_severity3_test_20260114_231403.json
Corruption_breastmnist_resnet18_DO,Corruption,breastmnist,resnet18,DO,0.7435897435897436,0.07166337935568703,uq_benchmark_breastmnist_resnet18_DO_corrupt_severity3_test_20260114_230907.json
Corruption_breastmnist_resnet18_Baseline,Corruption,breastmnist,resnet18,S,0.7628205128205128,0.09259944115713348,uq_benchmark_breastmnist_resnet18_corrupt_severity3_test_20260114_230251.json
Corruption_breastmnist_vit_b_16_DA,Corruption,breastmnist,vit_b_16,DA,0.8333333333333334,0.04400887573964495,uq_benchmark_breastmnist_vit_b_16_DA_corrupt_severity3_test_20260114_232209.json
Corruption_breastmnist_vit_b_16_DADO,Corruption,breastmnist,vit_b_16,DADO,0.8205128205128205,0.03817389875082182,uq_benchmark_breastmnist_vit_b_16_DADO_corrupt_severity3_test_20260114_233206.json
Corruption_breastmnist_vit_b_16_DO,Corruption,breastmnist,vit_b_16,DO,0.8141025641025641,0.04859056541748849,uq_benchmark_breastmnist_vit_b_16_DO_corrupt_severity3_test_20260114_232714.json
Corruption_breastmnist_vit_b_16_Baseline,Corruption,breastmnist,vit_b_16,S,0.8333333333333334,0.043145956607495047,uq_benchmark_breastmnist_vit_b_16_corrupt_severity3_test_20260114_231728.json
Corruption_dermamnist-e-id_resnet18_DA,Corruption,dermamnist-e-id,resnet18,DA,0.5313807531380753,0.15405472593266922,uq_benchmark_dermamnist-e-id_resnet18_DA_corrupt_severity3_test_20260117_131314.json
Corruption_dermamnist-e-id_resnet18_DADO,Corruption,dermamnist-e-id,resnet18,DADO,0.6577405857740586,0.10309098230073002,uq_benchmark_dermamnist-e-id_resnet18_DADO_corrupt_severity3_test_20260117_140323.json
